,Cities,Country,Max_temp,Lat,Lon,Cloudiness,Humidity,Windspeed
445,porto novo,BR,93.2,-23.68,-45.44,40,38,5.82
446,high level,CA,3.2,58.52,-117.13,75,84,10.29
447,brewster,US,35.06,41.76,-70.08,90,100,11.41
448,san rafael,AR,66.2,-34.61,-68.33,92,45,8.32
449,iskateley,RU,20.21,67.68,53.15,80,86,16.49
450,jackson,US,37.4,35.61,-88.82,90,93,4.7
451,nenjiang,CN,-0.13,49.17,125.23,20,53,11.79
452,mahajanga,MG,80.6,-15.72,46.32,40,88,4.7
453,sechura,PE,80.02,-5.56,-80.82,0,73,8.88
454,joshimath,IN,-8.64,30.57,79.57,0,96,1.28
455,ugoofaaru,MV,80.51,5.67,73,88,100,13.69
456,tongren,CN,38.44,27.72,109.18,92,98,6.31
457,nantucket,US,35.06,41.28,-70.1,90,100,11.41
458,owosso,US,32.9,43,-84.18,75,64,10.29
459,banyo,CM,77.36,6.75,11.81,0,34,4.63
460,kampot,KH,75.2,10.62,104.18,20,88,2.51
461,vitim,RU,-5.89,59.44,112.57,56,55,6.31
462,ca mau,VN,74.93,9.18,105.15,8,93,5.19
463,englehart,CA,17.6,47.82,-79.87,90,92,9.17
464,fortuna,ES,57.2,38.18,-1.13,0,71,5.82
465,rheinau,DE,39.2,48.87,8.19,75,93,6.93
466,poya,NC,74.71,-21.35,165.16,64,100,17.6
467,kuche,NaN,NaN,NaN,NaN,NaN,NaN,NaN
468,saint-leu,RE,80.6,-21.15,55.28,0,69,5.82
469,vao,EE,26.42,59.1,26.19,44,84,12.12
470,peniche,PT,53.6,39.36,-9.38,20,81,9.17
471,tuatapere,NZ,51.08,-46.13,167.69,32,100,4.85
472,samusu,NaN,NaN,NaN,NaN,NaN,NaN,NaN
473,beringovskiy,RU,-4.36,63.05,179.32,80,92,30.8
474,ikalamavony,MG,68.45,-21.17,46.6,12,82,4.63
475,sarkand,KZ,4.82,45.41,79.91,0,32,7.2
476,aragats,AM,32,40.22,44.23,75,81,1.83
477,portland,US,44.06,45.52,-122.67,20,48,24.16
478,chandbali,IN,69.17,20.77,86.74,32,100,6.2
479,biak,ID,75.92,-0.91,122.88,76,100,2.84
480,lagoa,PT,57.2,37.14,-8.45,0,62,2.24
481,geraldton,CA,19.4,49.72,-86.95,90,62,6.93
482,ajdabiya,LY,55.58,30.75,20.22,0,65,15.59
483,batagay,RU,-62.64,67.65,134.64,8,0,2.39
484,burnie,AU,66.56,-41.05,145.91,92,91,16.49
485,tiksi,RU,-35.82,71.64,128.87,44,0,1.72
486,erzin,TR,48.2,36.95,36.2,75,87,11.41
487,teknaf,BD,60.35,20.86,92.31,0,81,4.63
488,kachiry,KZ,16.61,53.07,76.1,68,81,14.25
489,mukhen,RU,6.17,48.19,136.14,68,79,3.29
490,irtyshskiy,RU,22.69,58.33,68.13,76,89,5.64
491,cherskiy,RU,-32.89,68.75,161.3,12,0,3.18
492,worland,US,35.24,44.02,-107.96,1,41,9.17
493,berbera,NaN,NaN,NaN,NaN,NaN,NaN,NaN
494,manadhoo,MV,79.21,5.77,73.38,92,100,9.89
495,sao filipe,CV,73.58,14.9,-24.5,0,92,16.82
496,naftah,NaN,NaN,NaN,NaN,NaN,NaN,NaN
497,dezful,IR,54.5,32.38,48.4,92,100,3.18
498,tabuk,PH,55.81,17.41,121.44,44,88,1.61
499,tortoli,IT,55.4,39.93,9.66,0,50,26.4
500,pantayivka,UA,31.96,48.67,32.88,76,96,14.81
501,cacoal,BR,85.96,-11.43,-61.44,36,65,2.95
502,faanui,PF,80.78,-16.48,-151.75,88,100,14.81
503,kabinda,CD,67.01,-6.14,24.49,92,99,9.55
504,prado,BR,81.01,-17.34,-39.22,0,92,12.46
505,calbuco,CL,66.2,-41.77,-73.13,0,59,10.29
506,boda,BD,52.84,26.2,88.56,0,86,3.4
507,russell,AR,69.8,-33.01,-68.8,40,73,5.82
508,san fernando,TT,86,10.28,-61.46,75,48,9.17
509,bosansko grahovo,BA,24.31,44.18,16.37,0,79,2.06
510,san mateo del mar,MX,79.39,16.21,-94.98,0,89,30.91
511,urucara,BR,80.96,-2.54,-57.76,88,85,2.39
512,likasi,CD,66.52,-10.99,26.74,56,100,3.51
513,gazojak,TM,40.1,41.19,61.4,92,88,2.95
514,jos,NG,75.16,9.92,8.9,0,32,4.07
515,iracoubo,GF,82.81,5.48,-53.21,68,66,5.41
516,shimoda,JP,49.28,34.7,138.93,0,100,11.45
517,port lincoln,AU,66.65,-34.72,135.86,12,93,4.63
518,monroe,US,33.98,41.91,-83.4,1,67,4.52
519,odweyne,NaN,NaN,NaN,NaN,NaN,NaN,NaN
520,kaeo,NZ,57.07,-35.1,173.78,56,94,9.66
521,lozovik,RS,33.35,44.47,21.1,0,94,15.93
522,poum,MK,26.6,41.28,20.71,75,86,2.24
523,moyale,ET,75.79,3.52,39.05,0,29,8.43
524,makakilo city,US,71.06,21.35,-158.09,90,93,2.06
525,sompeta,IN,65.3,18.93,84.6,48,80,1.72
526,menongue,AO,82.04,-14.66,17.68,92,20,5.75
527,rocha,UY,82.72,-34.48,-54.34,8,69,9.44
528,kamenka,RU,19.36,53.19,44.05,76,88,13.91
529,orsha,BY,32.72,54.51,30.43,92,93,17.6
530,yabrud,SY,46.4,33.97,36.66,75,81,13.87
531,wahran,NaN,NaN,NaN,NaN,NaN,NaN,NaN
532,tigil,RU,8.33,57.8,158.67,64,80,5.75
533,nacala,MZ,82.22,-14.56,40.69,88,95,5.97
534,salina cruz,MX,80.15,16.18,-95.2,8,52,20.4
535,teya,MX,80.6,21.05,-89.07,75,61,9.17
536,port hedland,AU,80.6,-20.31,118.58,8,88,4.74
537,vila,IT,57.2,45.18,8.4,0,27,13.87
538,aswan,EG,48.16,24.09,32.9,0,68,3.85
539,antofagasta,CL,68,-23.65,-70.4,75,60,17.22
540,madang,PG,76.46,-5.21,145.81,64,100,3.85
541,taoudenni,ML,60.67,22.68,-3.98,0,20,8.55
542,faya,SA,57.2,18.39,42.45,0,54,3.62
543,lincoln,US,32,40.8,-96.67,90,97,11.41
544,luderitz,NA,67.28,-26.65,15.16,0,62,23.31
545,mount gambier,AU,62.6,-37.83,140.78,92,88,5.82
546,susuman,RU,-42.16,62.78,148.15,20,0,3.29
547,barbosa ferraz,BR,91.4,-24.03,-52.01,40,59,9.17
548,juifang,NaN,NaN,NaN,NaN,NaN,NaN,NaN
549,santa marta de tormes,ES,35.6,40.95,-5.63,0,80,1.12
550,samarai,PG,81.5,-10.62,150.67,80,100,12.01
551,saint-lo,FR,46.4,49.12,-1.09,90,81,5.82
552,atbasar,KZ,26.47,51.81,68.36,92,91,7.43
553,acarau,NaN,NaN,NaN,NaN,NaN,NaN,NaN
554,bilyayivka,UA,35.6,46.48,30.22,0,80,6.71
555,hwange,ZW,77.14,-18.35,26.5,48,75,4.07
556,udachnyy,RU,-56.92,66.42,112.4,0,0,2.51
557,ilheus,BR,86,-14.79,-39.05,40,79,6.93
558,banda aceh,ID,75.11,5.56,95.32,88,99,1.95
559,qunduz,NaN,NaN,NaN,NaN,NaN,NaN,NaN
560,port hardy,CA,33.8,50.7,-127.42,20,100,3.36
561,camabatela,AO,71.24,-8.19,15.37,80,78,7.43
562,kpandu,GH,88.66,7,0.29,24,55,1.61
563,rapid valley,US,42.98,44.06,-103.15,1,35,11.41
564,merauke,ID,76.19,-8.49,140.4,80,100,2.17
565,micheweni,TZ,82.85,-4.97,39.83,20,99,10.78
566,batagay-alyta,RU,-57.6,67.8,130.41,0,0,2.39
567,solvychegodsk,RU,20.39,61.33,46.92,80,84,10.78
568,nome,US,53.96,30.04,-94.42,1,53,9.17
569,the valley,AI,84.2,18.22,-63.06,20,61,11.41
570,hastings,NZ,63.14,-39.64,176.84,88,100,9.33
571,pemba,MZ,80.6,-12.97,40.52,75,78,5.82
572,wenatchee,US,28.94,47.42,-120.31,90,92,1.5
573,port hawkesbury,CA,17.6,45.62,-61.36,40,72,6.93
574,atar,MR,82.4,20.52,-13.05,24,9,9.17
575,trofors,NO,32,65.54,13.39,20,92,6.93
576,amapa,HN,80.6,15.09,-87.97,40,69,5.82
577,dzhusaly,NaN,NaN,NaN,NaN,NaN,NaN,NaN
578,mlowo,TZ,64.76,-9.01,33,76,91,2.39
579,pampa,US,52.88,35.54,-100.96,1,60,9.17
580,coahuayana,MX,79.16,18.62,-100.35,32,32,3.06
581,amderma,NaN,NaN,NaN,NaN,NaN,NaN,NaN
582,galveston,US,32,40.58,-86.19,1,93,4.52
583,dormidontovka,RU,1.72,47.77,134.91,68,70,4.97
584,lemesos,NaN,NaN,NaN,NaN,NaN,NaN,NaN
585,chimoio,MZ,69.8,-19.11,33.48,75,100,6.93
586,sioux lookout,CA,17.6,50.1,-91.92,75,72,5.82
587,san juan de uraba,CO,82.54,8.76,-76.53,0,99,9.1
588,albemarle,US,46.04,35.35,-80.2,90,67,4.7
589,denau,NaN,NaN,NaN,NaN,NaN,NaN,NaN
590,rawlins,US,24.8,41.79,-107.24,1,72,3.18
591,richards bay,ZA,79.39,-28.77,32.06,20,79,7.76
592,beloha,MG,80.33,-25.17,45.06,68,83,4.18
593,chincha alta,PE,71.6,-13.42,-76.13,20,30,11.41
594,shangrao,CN,43.84,28.45,117.97,92,98,2.28
595,maceio,BR,84.2,-9.67,-35.74,40,54,11.41
